,smiles
2hptcoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])O)[C@@H](O)C([O-])=NCCC([O-])=NCCS/C([O-])=C1\C=CC=CCC1=O
2ippm,CC(C)/C(=C/C(=O)O)C(=O)O
2mahmp,Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(=N)[nH]1
2mcacn,C/C(C(=O)O)=C(\CC(=O)O)C(=O)O
2mcit,CC(C(=O)O)C(O)(CC(=O)O)C(=O)O
2me4p,C[C@](O)(CO)[C@H](O)COP(=O)(O)O
2mecdp,C[C@@]1(CO)OP(=O)(O)OP(=O)(O)OC[C@H]1O
2obut,CCC(=O)C(=O)O
2odec11eg3p,CCCCCC/C=C\CCCCCCCCCC(=O)OC(CO)COP(=O)(O)O
2odecg3p,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])[O-]
2ohph,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O
2ombzl,COc1cc(O)cc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O
2omhmbl,COc1c(O)c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O
2ommbl,COC1=CC(O)C(C)=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1O
2omph,COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O
2oph,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O
2oxpaccoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)/C=C1/CC=CC=CO1
2p4c2me,C[C@@](CO)(OP(=O)(O)O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O
2pg,O=C(O)[C@@H](CO)OP(=O)(O)O
2pglyc,O=C(O)COP(=O)(O)O
