,smiles
dhgly,N=CC(=O)O
dhmpt,N=c1nc(O)c2c([nH]1)NCC([C@H](O)[C@@H](O)CO)=N2
dhmptp,N=c1nc([O-])c2c([nH]1)NCC([C@H](O)[C@@H](O)COP(=O)([O-])OP(=O)(O)OP(=O)([O-])[O-])=N2
dhna,O=C(O)c1cc(O)c2ccccc2c1O
dhnpt,N=c1nc(O)c2c([nH]1)NCC([C@H](O)[C@H](O)CO)=N2
dhor__S,O=C(O)[C@@H]1CC(O)=NC(O)=N1
dhpppn,O=C(O)CCc1cccc([O-])c1O
dhps,O=S(=O)([O-])CC(O)CO
dhpt,N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)O)cc1)=N2
dhptd,CC(=O)C(=O)C(O)CO
dhptdd,CC(=O)C(O)C(=O)COP(=O)([O-])[O-]
dhptdn,c1ncc2c(n1)=NCCN=2
dhptdp,CC(=O)C(=O)[C@@H](O)COP(=O)([O-])[O-]
didp,O=P(O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C[C@@H]1O
dimp,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C[C@@H]1O
din,OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C[C@@H]1O
ditp,O=P(O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C[C@@H]1O
dkdglcn,O=C(O)C(=O)C[C@H](O)C(=O)CO
dmbzid,Cc1cc2nc[nH]c2cc1C
dmlz,Cc1nc2c(O)nc(=O)nc-2n(C[C@H](O)[C@H](O)[C@H](O)CO)c1C
dmpp,CC(C)=CCOP(=O)(O)OP(=O)(O)O
dms,CSC
dmso,CS(C)=O
dnad,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H]([n+]3cccc(C(=O)O)c3)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
dopa,NCCc1ccc(O)c(O)c1
doxrbcn,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
dpcoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)[C@@H](O)C(O)=NCCC(O)=NCCS
dscl,C[C@@]1(CC(=O)O)C2=N/C(=C\c3[nH]c(c(CCC(=O)O)c3CC(=O)O)Cc3[nH]c(c(CC(=O)O)c3CCC(=O)O)/C=C3\N/C(=C\2)[C@@H](CCC(=O)O)[C@]3(C)CC(=O)O)[C@H]1CCC(=O)O
dt5hsu,O=C[C@H](O)[C@@H](O)CC(=O)C(=O)[O-]
dtbt,CC1N=C(O)NC1CCCCCC(=O)O
dtdp4aaddg,CC(O)=N[C@@H]1[C@H](O)[C@@H](O)C(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cc(C)c(O)nc3=O)C[C@@H]2O)O[C@@H]1C
dtdp4addg,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](C)[C@H](N)[C@H](O)[C@H]3O)O2)c(=O)nc1O
dtdp4d6dg,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](C)C(=O)[C@H](O)[C@H]3O)O2)c(=O)nc1O
dtdp4d6dm,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OC3O[C@@H](C)C(=O)[C@@H](O)[C@H]3O)O2)c(=O)nc1O
dtdp,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1O
dtdpglu,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)c(=O)nc1O
dtdprmn,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)O2)c(=O)nc1O
dtgcl,OCCSSCCO
dtmp,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)nc1O
dttp,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)nc1O
dudp,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1
dump,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1
duri,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](CO)O1
dutp,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1
dxyl5p,CC(=O)[C@@H](O)[C@H](O)COP(=O)(O)O
dxyl,CC(=O)[C@@H](O)[C@H](O)CO
dxylnt,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)CO
e4p,O=C[C@H](O)[C@H](O)COP(=O)(O)O
eig3p,O=P(O)(O)OC[C@@H](O)[C@@H](O)c1cnc[nH]1
enter,O=C1OC[C@H](N=C(O)c2cccc(O)c2O)C(=O)OC[C@H](N=C(O)c2cccc(O)c2O)C(=O)OC[C@@H]1N=C(O)c1cccc(O)c1O
erthrs,O=C[C@H](O)[C@H](O)CO
etha,NCCO
ethso3,CCS(=O)(=O)[O-]
etoh,CCO
f1p,O=P(O)(O)OCC1(O)O[C@H](CO)[C@@H](O)[C@@H]1O
f6p,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
f,[F-]
fad,Cc1cc2nc3c(O)nc(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C
fadh2,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1nc(O)nc(O)c1N2
fald,C=O
fc1p,C[C@H](O)[C@@H](O)[C@@H](O)C(=O)COP(=O)(O)O
fcl__L,C[C@H](O)[C@@H](O)[C@@H](O)C(=O)CO
fdp,O=P(O)(O)OC[C@H]1O[C@@](O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O
fe2,[Fe+2]
fe3,[Fe+3]
fe3dcit,OC(O)CC(O)(CC(O)O)C(O)O.OC(O)CC(O)(CC(O)O)C(O)O.[Fe]
fe3dhbzs,O=C(O)[C@H](CO)N=C(O)c1cccc(O)c1O.[Fe]
fecrm,CC(=O)N(O)CCC[C@@H]1N=C(O)C[NH+]=C(O)C[NH+]=C(O)C[NH+]=C(O)[C@H](CCCN(O)C(C)=O)N=C(O)[C@H](CCCN(O)C(C)=O)N=C1O.[Fe]
fecrm_un,CC(=O)N(O)CCC[C@@H]1N=C(O)[C@H](CCCN(O)C(C)=O)N=C(O)[C@H](CCCN(O)C=O)N=C(O)CN=C(O)CN=C(O)CN=C1O
feenter,O=C1OC[C@H](N=C(O)c2cccc([O-])c2[O-])C(=O)OC[C@H](N=C(O)c2cccc([O-])c2[O-])C(=O)OC[C@@H]1N=C(O)c1cccc([O-])c1[O-].[Fe+3]
feoxam,CC(=O)N(O)CCCCCN=C(O)CCC(=O)N(O)CCCCCN=C(O)CCC(=O)N(O)CCCCCN.[Fe]
fgam,O=P(O)(O)OC[C@H]1O[C@@H](N=C(O)CN=CO)[C@H](O)[C@@H]1O
fmn,Cc1cc2nc3c(O)nc(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
fmnh2,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1nc(O)nc(O)c1N2
for,O=C[O-]
forcoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC=O
fpram,N=C(N=CO)N[C@@H]1O[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O
fprica,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N=CO
frdp,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
fru,OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O
frulys,N[C@@H](CCCCNCC(=O)[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)O
frulysp,NC(CCCCNC1OC(COP(=O)(O)O)C(O)C(O)C1=O)C(=O)O
fruur,O=C(O)[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
fuc__L,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O
fum,O=C([O-])/C=C/C(=O)[O-]
fusa,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O
g1p,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
g3p,O=CC(O)COP(=O)(O)O
g3pc,C[N+](C)(C)CCOP(=O)([O-])OC[C@H](O)CO
g3pe,NCCOP(=O)(O)OC[C@H](O)CO
g3pg,O=P(O)(OCC(O)CO)OCC(O)CO
g3pi,O=P(O)(OC[C@H](O)CO)OC1[C@H](O)[C@@H](O)C(O)[C@@H](O)[C@H]1O
g3ps,N[C@@H](COP(=O)(O)OCC(O)CO)C(=O)O
g6p,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
gagicolipa,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])C(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(OC4(C(=O)[O-])CC(O)C(O)C(C(O)CO)O4)C(OC4OC(C)C(O)C(O)C4O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4O)C3O)C(C(O)CO)O2)O[C@@H](OC[C@H]2OC(OP(=O)(O)O)[C@H](N=C([O-])C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C([O-])C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
gal1p,O=P(O)(O)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
gal_bD,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
gal,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
galct__D,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O
galctn__D,O=C([O-])[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
galctn__L,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO
galt1p,O=P(O)(O)OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
galt,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
galur,O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
gam1p,N[C@H]1[C@@H](OP(=O)(O)O)O[C@H](CO)[C@@H](O)[C@@H]1O
gam6p,N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
gam,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
gar,NCC(O)=N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
garagund,CC(=O)OC1C(OC2C(O)C(CO)OC(OP(=O)(O)OP(=O)([O-])OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C2N=C(C)[O-])OC(C)C(O)C1OC1OC(CO)C(O)C(O)C1O
gbbtn,C[N+](C)(C)CCCC(=O)[O-]
gcald,O=CCO
gdp,N=c1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1
gdpddman,C[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(O)nc(=N)[nH]c43)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)C1=O
gdpfuc,C[C@@H]1OC(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(O)nc(=N)[nH]c43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
gdpmann,N=c1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)c2[nH]1
gdpofuc,C[C@@H]1OC(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(O)nc(=N)[nH]c43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)C1=O
gdptp,N=c1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@H]3O)c2[nH]1
gfgaragund,CC(=O)OC1C(OC2C(O)C(CO)OC(OP(=O)(O)OP(=O)([O-])OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C2N=C(C)[O-])OC(C)C(O)C1OC1OC(COC2OC(C(O)CO)C(O)C2O)C(O)C(O)C1O
gg4abut,N[C@@H](CCC(O)=NCCCC(=O)O)C(=O)O
ggagicolipa,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])C(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(OC4(C(=O)[O-])CC(O)C(O)C(C(O)CO)O4)C(OC4OC(C)C(O)C(O)C4O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(OC6OC(CO)C(O)C(O)C6O)C5O)C4O)C3O)C(C(O)CO)O2)O[C@@H](OC[C@H]2OC(OP(=O)(O)O)[C@H](N=C([O-])C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C([O-])C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
ggbutal,N[C@@H](CCC(O)=NCCCC=O)C(=O)O
gggagicolipa,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])C(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(OC4(C(=O)[O-])CC(O)C(O)C(C(O)CO)O4)C(OC4OC(C)C(O)C(O)C4O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C5O)C4O)C3O)C(C(O)CO)O2)O[C@@H](OC[C@H]2OC(OP(=O)(O)O)[C@H](N=C([O-])C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C([O-])C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
ggptrc,NCCCCN=C(O)CC[C@H](N)C(=O)O
ghb,O=C(O)CCCO
gicolipa,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])C(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(OC4(C(=O)[O-])CC(O)C(O)C(C(O)CO)O4)C(OC4OC(C)C(O)C(O)C4O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(OC5OC(CO)C(O)C(O)C5O)C4O)C3O)C(C(O)CO)O2)O[C@@H](OC[C@H]2OC(OP(=O)(O)O)[C@H](N=C([O-])C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C([O-])C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
glc__D,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
glcn,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
glcr,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
glcur1p,O=C([O-])[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H](O)[C@@H]1O
glcur,O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
gln__L,N=C(O)CC[C@H](N)C(=O)O
glu1sa,N[C@H](C=O)CCC(=O)O
glu5p,N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
glu5sa,N[C@@H](CCC=O)C(=O)O
glu__D,N[C@H](CCC(=O)O)C(=O)O
glu__L,N[C@@H](CCC(=O)O)C(=O)O
glucys,N[C@@H](CCC(O)=N[C@@H](CS)C(=O)O)C(=O)O
glx,O=CC(=O)[O-]
gly,NCC(=O)O
glyald,O=C[C@H](O)CO
glyb,C[N+](C)(C)CC(=O)[O-]
glyc2p,O=P(O)(O)OC(CO)CO
glyc3p,O=P(O)(O)OCC(O)CO
glyc__R,O=C(O)[C@H](O)CO
glyc,OCC(O)CO
glyclt,O=C([O-])CO
glycogen,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
gmhep17bp,O=P(O)(O)OC[C@@H](O)[C@H]1OC(OP(=O)(O)O)[C@@H](O)[C@@H](O)[C@@H]1O
gmhep1p,O=P(O)(O)OC1O[C@H]([C@H](O)CO)[C@@H](O)[C@H](O)[C@@H]1O
gmhep7p,O=P(O)(O)OC[C@@H](O)[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
gmp,N=c1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1
gp4g,N=c1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]4O[C@@H](n5cnc6c(O)nc(=N)[nH]c65)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]3O)c2[nH]1
grdp,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
gsn,N=c1nc(O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1
gthox,N[C@@H](CCC(O)=N[C@@H](CSSC[C@H](N=C(O)CC[C@H](N)C(=O)O)C(O)=NCC(=O)O)C(O)=NCC(=O)O)C(=O)O
gthrd,N[C@@H](CCC(O)=N[C@@H](CS)C(O)=NCC(=O)O)C(=O)O
gtp,N=c1nc(O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1
gtspmd,NCCCCNCCCN=C(O)CN=C(O)[C@H](CS)N=C(O)CC[C@H](N)C(=O)O
gua,N=c1nc(O)c2nc[nH]c2[nH]1
h2,[HH]
h2mb4p,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CO
h2o2,OO
h2o,O
h2s,S
h,[H+]
hco3,O=C([O-])O
hcys__L,N[C@@H](CCS)C(=O)O
hdca,CCCCCCCCCCCCCCCC(=O)[O-]
hdcap,CCCCCCCCCCCCCCCC(=O)OP(=O)([O-])[O-]
hdcea,CCCCCC/C=C\CCCCCCCC(=O)O
hdceap,CCCCCCCCCCCCCCCC(=O)OP(=O)([O-])[O-]
hdcoa,CCCCCCCCCCCCC/C=C/C(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
hdd2coa,CCCCCCCCCCCCC/C=C/C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
hemeO,C=CC1=C(C)c2cc3[nH]c(cc4[n-]c(cc5nc(cc1n2)C(C)=C5CCC(=O)O)c(CCC(=O)[O-])c4C)c(C)c3C(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C.[Fe+2]
hg2,[Hg+2]
hhlipa,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O[C@H]4O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)(O)O)[C@H](N=C([O-])C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C([O-])C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
his__L,N[C@@H](Cc1cnc[nH]1)C(=O)O
hisp,N[C@H](COP(=O)(O)O)Cc1cnc[nH]1
histd,N[C@H](CO)Cc1cnc[nH]1
hkndd,O=C(O)CCC(=O)/C=C/C=C(\O)C(=O)O
hkntd,O=C(O)/C=C/C(=O)/C=C/C=C(\O)C(=O)O
hlipa,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](CO[C@]2(C(=O)O)C[C@@H](OC3(C(O)O)CC(O)C(O)C(C(O)CO)O3)[C@@H](OC3OC([C@@H](O)CO)[C@@H](O)[C@H](OC4OC([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)(O)O)[C@H](N=C(O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C(O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
hmbil,O=C(O)CCc1c[nH]c(Cc2[nH]c(Cc3[nH]c(Cc4[nH]c(CO)c(CC(=O)O)c4CCC(=O)O)c(CC(=O)O)c3CCC(=O)O)c(CC(=O)O)c2CCC(=O)O)c1CC(=O)O
hmgth,O=C(O)CN=C(O)[C@H](CS)N=C(O)CC[C@H](NCO)C(=O)O
hom__L,N[C@@H](CCO)C(=O)O
hphhlipa,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](OC3(C(=O)[O-])CC(O)C(O)C(C(O)CO)O3)[C@@H](OC3OC([C@@H](O)CO)[C@@H](O)[C@H](OC4OC([C@@H](O)COC5OC(C(O)CO)C(O)C(O)C5O)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)(O)O)[C@H](N=C([O-])C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C([O-])C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
hpyr,O=C(O)C(=O)CO
hqn,Oc1ccc(O)cc1
hx2coa,CCC/C=C/C(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
hxa,CCCCCC(=O)[O-]
hxan,Oc1ncnc2[nH]cnc12
hxcoa,CCCCCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
iasp,N=C(CC(=O)O)C(=O)O
ichor,C=C(O[C@H]1C=CC=C(C(=O)O)[C@@H]1O)C(=O)O
icit,O=C(O)CC(C(=O)O)C(O)C(=O)O
icolipa,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])C(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(OC4(C(=O)[O-])CC(O)C(O)C(C(O)CO)O4)C(OC4OC(C)C(O)C(O)C4O)C(C(O)CO)O3)C(OC3OC(C(O)CO)C(OP(=O)([O-])[O-])C(OC4OC(C(O)COC5OC(C(O)CO)C(O)C(O)C5O)C(OP(=O)([O-])[O-])C(O)C4O)C3O)C(C(O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)(O)O)[C@H](N=C([O-])C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1N=C([O-])C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
idon__L,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
idp,O=P(O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O
ile__L,CC[C@H](C)[C@H](N)C(=O)O
imacp,O=C(COP(=O)(O)O)Cc1cnc[nH]1
imp,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O
indole,c1ccc2[nH]ccc2c1
inost,OC1C(O)C(O)C(O)C(O)C1O
ins,OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O
ipdp,C=C(C)CCOP(=O)(O)OP(=O)(O)O
iprimv,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O
isetac,O=S(=O)(O)CCO
